,E_MeV_u,LET_keV_um,a0_nm,beta,ks_Geiss,particle,scale,voltage_V,water_LET_keV_um
0,1.0,0.026711210613162315,7.5,0.0,1.0073330002206708,proton,3.5,100.0,25.938620930537663
1,11.0,0.0044444979476805655,7.5,0.0,1.0007788953610273,proton,3.5,100.0,4.202411114774167
2,21.0,0.0026400043099905693,7.5,0.0,1.000413008374058,proton,3.5,100.0,2.4897928221426557
3,31.0,0.0019273382026579985,7.5,0.0,1.0002832026742583,proton,3.5,100.0,1.8152106178928809
4,41.0,0.001540034989728209,7.5,0.0,1.0002168352291474,proton,3.5,100.0,1.44976438780999
5,51.0,0.0012954605074436635,7.5,0.0,1.0001766359948128,proton,3.5,100.0,1.2178741085609217
6,61.0,0.0011250290337345916,7.5,0.0,1.0001495214562,proton,3.5,100.0,1.0578147435731535
7,71.0,0.0010000825751962175,7.5,0.0,1.0001301274188394,proton,3.5,100.0,0.9397209630822666
8,81.0,0.0009040108937172162,7.5,0.0,1.0001155233678412,proton,3.5,100.0,0.8492772293532753
9,91.0,0.0008279032435706793,7.5,0.0,1.0001041520659542,proton,3.5,100.0,0.777635938997595
10,101.0,0.0007661144976206642,7.5,0.0,1.0000950547284426,proton,3.5,100.0,0.7193568754586498
11,111.0,0.0007147084568135613,7.5,0.0,1.000087586882229,proton,3.5,100.0,0.6709827417522831
12,121.0,0.0006714043088999485,7.5,0.0,1.0000813664122226,proton,3.5,100.0,0.6302748146844219
13,131.0,0.0006344045191860532,7.5,0.0,1.0000761045731714,proton,3.5,100.0,0.5954837762729059
14,141.0,0.0006023898100437297,7.5,0.0,1.0000715929448694,proton,3.5,100.0,0.5653585358445968
15,151.0,0.0005744663887969863,7.5,0.0,1.0000676887912516,proton,3.5,100.0,0.5390792979870318
16,161.0,0.0005498437483239019,7.5,0.0,1.0000642717012995,proton,3.5,100.0,0.5159111115351095
17,171.0,0.0005279860447378778,7.5,0.0,1.0000612583996,proton,3.5,100.0,0.4953369514499505
18,181.0,0.0005084934140907956,7.5,0.0,1.000058586451814,proton,3.5,100.0,0.4769683549258817
19,191.0,0.0004909690817248215,7.5,0.0,1.000056197507153,proton,3.5,100.0,0.4604470361532677
20,201.0,0.0004751167009583902,7.5,0.0,1.0000540476504889,proton,3.5,100.0,0.4455269119619493
21,211.0,0.00046067947017685613,7.5,0.0,1.0000520996460391,proton,3.5,100.0,0.4319791920218338
22,221.0,0.00044748987612779913,7.5,0.0,1.0000503280305266,proton,3.5,100.0,0.41962356889811214
23,231.0,0.00043542668673453847,7.5,0.0,1.0000487137560552,proton,3.5,100.0,0.40832224648567866
24,241.0,0.00042436005857306847,7.5,0.0,1.0000472377546588,proton,3.5,100.0,0.3979344638770026
25,251.0,0.0004141925864043612,7.5,0.0,1.0000458853654308,proton,3.5,100.0,0.3883582149497021
26,261.0,0.0004048033864890401,7.5,0.0,1.000044639968502,proton,3.5,100.0,0.3794819543384675
27,271.0,0.000396111605936464,7.5,0.0,1.000043489926144,proton,3.5,100.0,0.3712586632523019
28,281.0,0.0003880096439944228,7.5,0.0,1.000042421112019,proton,3.5,100.0,0.3636133151401927
29,291.0,0.00038043213264701657,7.5,0.0,1.0000414244249425,proton,3.5,100.0,0.35648587028231404
30,1.0,0.026711210613162315,7.5,0.0,1.0073330002206708,proton,3.5,100.0,25.938620930537663
31,11.0,0.0044444979476805655,7.5,0.0,1.0007788953610273,proton,3.5,100.0,4.202411114774167
32,21.0,0.0026400043099905693,7.5,0.0,1.000413008374058,proton,3.5,100.0,2.4897928221426557
33,31.0,0.0019273382026579985,7.5,0.0,1.0002832026742583,proton,3.5,100.0,1.8152106178928809
34,41.0,0.001540034989728209,7.5,0.0,1.0002168352291474,proton,3.5,100.0,1.44976438780999
35,51.0,0.0012954605074436635,7.5,0.0,1.0001766359948128,proton,3.5,100.0,1.2178741085609217
36,61.0,0.0011250290337345916,7.5,0.0,1.0001495214562,proton,3.5,100.0,1.0578147435731535
37,71.0,0.0010000825751962175,7.5,0.0,1.0001301274188394,proton,3.5,100.0,0.9397209630822666
38,81.0,0.0009040108937172162,7.5,0.0,1.0001155233678412,proton,3.5,100.0,0.8492772293532753
39,91.0,0.0008279032435706793,7.5,0.0,1.0001041520659542,proton,3.5,100.0,0.777635938997595
40,101.0,0.0007661144976206642,7.5,0.0,1.0000950547284426,proton,3.5,100.0,0.7193568754586498
41,111.0,0.0007147084568135613,7.5,0.0,1.000087586882229,proton,3.5,100.0,0.6709827417522831
42,121.0,0.0006714043088999485,7.5,0.0,1.0000813664122226,proton,3.5,100.0,0.6302748146844219
43,131.0,0.0006344045191860532,7.5,0.0,1.0000761045731714,proton,3.5,100.0,0.5954837762729059
44,141.0,0.0006023898100437297,7.5,0.0,1.0000715929448694,proton,3.5,100.0,0.5653585358445968
45,151.0,0.0005744663887969863,7.5,0.0,1.0000676887912516,proton,3.5,100.0,0.5390792979870318
46,161.0,0.0005498437483239019,7.5,0.0,1.0000642717012995,proton,3.5,100.0,0.5159111115351095
47,171.0,0.0005279860447378778,7.5,0.0,1.0000612583996,proton,3.5,100.0,0.4953369514499505
48,181.0,0.0005084934140907956,7.5,0.0,1.000058586451814,proton,3.5,100.0,0.4769683549258817
49,191.0,0.0004909690817248215,7.5,0.0,1.000056197507153,proton,3.5,100.0,0.4604470361532677
50,201.0,0.0004751167009583902,7.5,0.0,1.0000540476504889,proton,3.5,100.0,0.4455269119619493
51,211.0,0.00046067947017685613,7.5,0.0,1.0000520996460391,proton,3.5,100.0,0.4319791920218338
52,221.0,0.00044748987612779913,7.5,0.0,1.0000503280305266,proton,3.5,100.0,0.41962356889811214
53,231.0,0.00043542668673453847,7.5,0.0,1.0000487137560552,proton,3.5,100.0,0.40832224648567866
54,241.0,0.00042436005857306847,7.5,0.0,1.0000472377546588,proton,3.5,100.0,0.3979344638770026
55,251.0,0.0004141925864043612,7.5,0.0,1.0000458853654308,proton,3.5,100.0,0.3883582149497021
56,261.0,0.0004048033864890401,7.5,0.0,1.000044639968502,proton,3.5,100.0,0.3794819543384675
57,271.0,0.000396111605936464,7.5,0.0,1.000043489926144,proton,3.5,100.0,0.3712586632523019
58,281.0,0.0003880096439944228,7.5,0.0,1.000042421112019,proton,3.5,100.0,0.3636133151401927
59,291.0,0.00038043213264701657,7.5,0.0,1.0000414244249425,proton,3.5,100.0,0.35648587028231404
60,1.0,0.026711210613162315,7.5,0.0,1.0048147911071903,proton,3.5,200.0,25.938620930537663
61,11.0,0.0044444979476805655,7.5,0.0,1.0005101918143051,proton,3.5,200.0,4.202411114774167
62,21.0,0.0026400043099905693,7.5,0.0,1.0002705221076935,proton,3.5,200.0,2.4897928221426557
63,31.0,0.0019273382026579985,7.5,0.0,1.0001854972768742,proton,3.5,200.0,1.8152106178928809
64,41.0,0.001540034989728209,7.5,0.0,1.0001420260898746,proton,3.5,200.0,1.44976438780999
65,51.0,0.0012954605074436635,7.5,0.0,1.0001156954671993,proton,3.5,200.0,1.2178741085609217
66,61.0,0.0011250290337345916,7.5,0.0,1.0000979354394877,proton,3.5,200.0,1.0578147435731535
67,71.0,0.0010000825751962175,7.5,0.0,1.0000852323804688,proton,3.5,200.0,0.9397209630822666
68,81.0,0.0009040108937172162,7.5,0.0,1.0000756667752166,proton,3.5,200.0,0.8492772293532753
69,91.0,0.0008279032435706793,7.5,0.0,1.0000682186227383,proton,3.5,200.0,0.777635938997595
70,101.0,0.0007661144976206642,7.5,0.0,1.000062259914924,proton,3.5,200.0,0.7193568754586498
71,111.0,0.0007147084568135613,7.5,0.0,1.000057368520613,proton,3.5,200.0,0.6709827417522831
72,121.0,0.0006714043088999485,7.5,0.0,1.000053294153889,proton,3.5,200.0,0.6302748146844219
73,131.0,0.0006344045191860532,7.5,0.0,1.000049847686714,proton,3.5,200.0,0.5954837762729059
74,141.0,0.0006023898100437297,7.5,0.0,1.0000468926041528,proton,3.5,200.0,0.5653585358445968
75,151.0,0.0005744663887969863,7.5,0.0,1.0000443354143551,proton,3.5,200.0,0.5390792979870318
76,161.0,0.0005498437483239019,7.5,0.0,1.0000420972484951,proton,3.5,200.0,0.5159111115351095
77,171.0,0.0005279860447378778,7.5,0.0,1.0000401235614624,proton,3.5,200.0,0.4953369514499505
78,181.0,0.0005084934140907956,7.5,0.0,1.0000383734590022,proton,3.5,200.0,0.4769683549258817
79,191.0,0.0004909690817248215,7.5,0.0,1.0000368087216394,proton,3.5,200.0,0.4604470361532677
80,201.0,0.0004751167009583902,7.5,0.0,1.0000354005851957,proton,3.5,200.0,0.4455269119619493
81,211.0,0.00046067947017685613,7.5,0.0,1.0000341246604505,proton,3.5,200.0,0.4319791920218338
82,221.0,0.00044748987612779913,7.5,0.0,1.000032964269099,proton,3.5,200.0,0.41962356889811214
83,231.0,0.00043542668673453847,7.5,0.0,1.0000319069348729,proton,3.5,200.0,0.40832224648567866
84,241.0,0.00042436005857306847,7.5,0.0,1.0000309401683758,proton,3.5,200.0,0.3979344638770026
85,251.0,0.0004141925864043612,7.5,0.0,1.0000300543668077,proton,3.5,200.0,0.3883582149497021
86,261.0,0.0004048033864890401,7.5,0.0,1.0000292386442757,proton,3.5,200.0,0.3794819543384675
87,271.0,0.000396111605936464,7.5,0.0,1.0000284853781545,proton,3.5,200.0,0.3712586632523019
88,281.0,0.0003880096439944228,7.5,0.0,1.0000277853158064,proton,3.5,200.0,0.3636133151401927
89,291.0,0.00038043213264701657,7.5,0.0,1.0000271324960288,proton,3.5,200.0,0.35648587028231404
90,1.0,0.661235493799373,7.5,0.0,1.1364180434764135,carbon,3.5,100.0,642.1099902043418
91,11.0,0.15900160352888615,7.5,0.0,1.0213073470762568,carbon,3.5,100.0,150.34095444886574
92,21.0,0.09497003871768164,7.5,0.0,1.0117477809192443,carbon,3.5,100.0,89.56641321351692
93,31.0,0.06937410259962466,7.5,0.0,1.0082308271383142,carbon,3.5,100.0,65.33808992869722
94,41.0,0.05543916253389892,7.5,0.0,1.0064030037599168,carbon,3.5,100.0,52.18954232406842
95,51.0,0.04663602263606029,7.5,0.0,1.0052737563243352,carbon,3.5,100.0,43.842948818162796
96,61.0,0.04050087170668396,7.5,0.0,1.0045142339810904,carbon,3.5,100.0,38.08116958048624
97,71.0,0.03600290955307814,7.5,0.0,1.0039523249375235,carbon,3.5,100.0,33.82989792101239
98,81.0,0.03254437318144746,7.5,0.0,1.0035498155885616,carbon,3.5,100.0,30.573958197735948
99,91.0,0.029804501213130486,7.5,0.0,1.00321978288476,carbon,3.5,100.0,27.994884525766924
100,101.0,0.027580114549010864,7.5,0.0,1.0029572350272835,carbon,3.5,100.0,25.896843318781773
101,111.0,0.025729496265469443,7.5,0.0,1.0027420069058972,carbon,3.5,100.0,24.155376704531125
102,121.0,0.024170537874787592,7.5,0.0,1.002564182115346,carbon,3.5,100.0,22.68989232079701
103,131.0,0.02283855726662744,7.5,0.0,1.002414120116774,carbon,3.5,100.0,21.43741542395064
104,141.0,0.02168602142271158,7.5,0.0,1.0022868677345291,carbon,3.5,100.0,20.35290700453877
105,151.0,0.020680790341302917,7.5,0.0,1.0021623583560066,carbon,3.5,100.0,19.40685457875231
106,161.0,0.01979436844820447,7.5,0.0,1.0020673772971735,carbon,3.5,100.0,18.572799910181526
107,171.0,0.019007482472588145,7.5,0.0,1.0019849692359335,carbon,3.5,100.0,17.832130202818462
108,181.0,0.018305770975170308,7.5,0.0,1.0018985089412935,carbon,3.5,100.0,17.17086073786624
109,191.0,0.017674888064918456,7.5,0.0,1.001834381692436,carbon,3.5,100.0,16.576093274925515
110,201.0,0.01710420169843955,7.5,0.0,1.0017642933714548,carbon,3.5,100.0,16.038968819129632
111,211.0,0.016584464926366824,7.5,0.0,1.0017139642678552,carbon,3.5,100.0,15.551250894399047
112,221.0,0.016109621525686738,7.5,0.0,1.0016557465155795,carbon,3.5,100.0,15.106448490016104
113,231.0,0.015675365300740863,7.5,0.0,1.001615020427058,carbon,3.5,100.0,14.699600865359152
114,241.0,0.015276952867916015,7.5,0.0,1.0015661364894892,carbon,3.5,100.0,14.325640700053524
115,251.0,0.014910940999535762,7.5,0.0,1.0015213467004072,carbon,3.5,100.0,13.98089574063336
116,261.0,0.014572915227770425,7.5,0.0,1.0014922834026412,carbon,3.5,100.0,13.661350356885716
117,271.0,0.014260026594046269,7.5,0.0,1.0014538768380083,carbon,3.5,100.0,13.365311887312846
118,281.0,0.013968349980192404,7.5,0.0,1.001429755237351,carbon,3.5,100.0,13.090079358301447
119,291.0,0.013695549491209649,7.5,0.0,1.0013961924482733,carbon,3.5,100.0,12.833491332732613
120,1.0,0.026711210613162315,7.5,0.0,1.0073330002206708,proton,3.5,100.0,25.938620930537663
121,11.0,0.0044444979476805655,7.5,0.0,1.0007788953610273,proton,3.5,100.0,4.202411114774167
122,21.0,0.0026400043099905693,7.5,0.0,1.000413008374058,proton,3.5,100.0,2.4897928221426557
123,31.0,0.0019273382026579985,7.5,0.0,1.0002832026742583,proton,3.5,100.0,1.8152106178928809
124,41.0,0.001540034989728209,7.5,0.0,1.0002168352291474,proton,3.5,100.0,1.44976438780999
125,51.0,0.0012954605074436635,7.5,0.0,1.0001766359948128,proton,3.5,100.0,1.2178741085609217
126,61.0,0.0011250290337345916,7.5,0.0,1.0001495214562,proton,3.5,100.0,1.0578147435731535
127,71.0,0.0010000825751962175,7.5,0.0,1.0001301274188394,proton,3.5,100.0,0.9397209630822666
128,81.0,0.0009040108937172162,7.5,0.0,1.0001155233678412,proton,3.5,100.0,0.8492772293532753
129,91.0,0.0008279032435706793,7.5,0.0,1.0001041520659542,proton,3.5,100.0,0.777635938997595
130,101.0,0.0007661144976206642,7.5,0.0,1.0000950547284426,proton,3.5,100.0,0.7193568754586498
131,111.0,0.0007147084568135613,7.5,0.0,1.000087586882229,proton,3.5,100.0,0.6709827417522831
132,121.0,0.0006714043088999485,7.5,0.0,1.0000813664122226,proton,3.5,100.0,0.6302748146844219
133,131.0,0.0006344045191860532,7.5,0.0,1.0000761045731714,proton,3.5,100.0,0.5954837762729059
134,141.0,0.0006023898100437297,7.5,0.0,1.0000715929448694,proton,3.5,100.0,0.5653585358445968
135,151.0,0.0005744663887969863,7.5,0.0,1.0000676887912516,proton,3.5,100.0,0.5390792979870318
136,161.0,0.0005498437483239019,7.5,0.0,1.0000642717012995,proton,3.5,100.0,0.5159111115351095
137,171.0,0.0005279860447378778,7.5,0.0,1.0000612583996,proton,3.5,100.0,0.4953369514499505
138,181.0,0.0005084934140907956,7.5,0.0,1.000058586451814,proton,3.5,100.0,0.4769683549258817
139,191.0,0.0004909690817248215,7.5,0.0,1.000056197507153,proton,3.5,100.0,0.4604470361532677
140,201.0,0.0004751167009583902,7.5,0.0,1.0000540476504889,proton,3.5,100.0,0.4455269119619493
141,211.0,0.00046067947017685613,7.5,0.0,1.0000520996460391,proton,3.5,100.0,0.4319791920218338
142,221.0,0.00044748987612779913,7.5,0.0,1.0000503280305266,proton,3.5,100.0,0.41962356889811214
143,231.0,0.00043542668673453847,7.5,0.0,1.0000487137560552,proton,3.5,100.0,0.40832224648567866
144,241.0,0.00042436005857306847,7.5,0.0,1.0000472377546588,proton,3.5,100.0,0.3979344638770026
145,251.0,0.0004141925864043612,7.5,0.0,1.0000458853654308,proton,3.5,100.0,0.3883582149497021
146,261.0,0.0004048033864890401,7.5,0.0,1.000044639968502,proton,3.5,100.0,0.3794819543384675
147,271.0,0.000396111605936464,7.5,0.0,1.000043489926144,proton,3.5,100.0,0.3712586632523019
148,281.0,0.0003880096439944228,7.5,0.0,1.000042421112019,proton,3.5,100.0,0.3636133151401927
149,291.0,0.00038043213264701657,7.5,0.0,1.0000414244249425,proton,3.5,100.0,0.35648587028231404
150,1.0,0.026711210613162315,7.5,0.0,1.0048147911071903,proton,3.5,200.0,25.938620930537663
151,11.0,0.0044444979476805655,7.5,0.0,1.0005101918143051,proton,3.5,200.0,4.202411114774167
152,21.0,0.0026400043099905693,7.5,0.0,1.0002705221076935,proton,3.5,200.0,2.4897928221426557
153,31.0,0.0019273382026579985,7.5,0.0,1.0001854972768742,proton,3.5,200.0,1.8152106178928809
154,41.0,0.001540034989728209,7.5,0.0,1.0001420260898746,proton,3.5,200.0,1.44976438780999
155,51.0,0.0012954605074436635,7.5,0.0,1.0001156954671993,proton,3.5,200.0,1.2178741085609217
156,61.0,0.0011250290337345916,7.5,0.0,1.0000979354394877,proton,3.5,200.0,1.0578147435731535
157,71.0,0.0010000825751962175,7.5,0.0,1.0000852323804688,proton,3.5,200.0,0.9397209630822666
158,81.0,0.0009040108937172162,7.5,0.0,1.0000756667752166,proton,3.5,200.0,0.8492772293532753
159,91.0,0.0008279032435706793,7.5,0.0,1.0000682186227383,proton,3.5,200.0,0.777635938997595
160,101.0,0.0007661144976206642,7.5,0.0,1.000062259914924,proton,3.5,200.0,0.7193568754586498
161,111.0,0.0007147084568135613,7.5,0.0,1.000057368520613,proton,3.5,200.0,0.6709827417522831
162,121.0,0.0006714043088999485,7.5,0.0,1.000053294153889,proton,3.5,200.0,0.6302748146844219
163,131.0,0.0006344045191860532,7.5,0.0,1.000049847686714,proton,3.5,200.0,0.5954837762729059
164,141.0,0.0006023898100437297,7.5,0.0,1.0000468926041528,proton,3.5,200.0,0.5653585358445968
165,151.0,0.0005744663887969863,7.5,0.0,1.0000443354143551,proton,3.5,200.0,0.5390792979870318
166,161.0,0.0005498437483239019,7.5,0.0,1.0000420972484951,proton,3.5,200.0,0.5159111115351095
167,171.0,0.0005279860447378778,7.5,0.0,1.0000401235614624,proton,3.5,200.0,0.4953369514499505
168,181.0,0.0005084934140907956,7.5,0.0,1.0000383734590022,proton,3.5,200.0,0.4769683549258817
169,191.0,0.0004909690817248215,7.5,0.0,1.0000368087216394,proton,3.5,200.0,0.4604470361532677
170,201.0,0.0004751167009583902,7.5,0.0,1.0000354005851957,proton,3.5,200.0,0.4455269119619493
171,211.0,0.00046067947017685613,7.5,0.0,1.0000341246604505,proton,3.5,200.0,0.4319791920218338
172,221.0,0.00044748987612779913,7.5,0.0,1.000032964269099,proton,3.5,200.0,0.41962356889811214
173,231.0,0.00043542668673453847,7.5,0.0,1.0000319069348729,proton,3.5,200.0,0.40832224648567866
174,241.0,0.00042436005857306847,7.5,0.0,1.0000309401683758,proton,3.5,200.0,0.3979344638770026
175,251.0,0.0004141925864043612,7.5,0.0,1.0000300543668077,proton,3.5,200.0,0.3883582149497021
176,261.0,0.0004048033864890401,7.5,0.0,1.0000292386442757,proton,3.5,200.0,0.3794819543384675
177,271.0,0.000396111605936464,7.5,0.0,1.0000284853781545,proton,3.5,200.0,0.3712586632523019
178,281.0,0.0003880096439944228,7.5,0.0,1.0000277853158064,proton,3.5,200.0,0.3636133151401927
179,291.0,0.00038043213264701657,7.5,0.0,1.0000271324960288,proton,3.5,200.0,0.35648587028231404
180,1.0,0.026711210613162315,7.5,0.0,1.0036937232847811,proton,3.5,300.0,25.938620930537663
181,11.0,0.0044444979476805655,7.5,0.0,1.0003901011644802,proton,3.5,300.0,4.202411114774167
182,21.0,0.0026400043099905693,7.5,0.0,1.0002068416688756,proton,3.5,300.0,2.4897928221426557
183,31.0,0.0019273382026579985,7.5,0.0,1.0001418305528105,proton,3.5,300.0,1.8152106178928809
184,41.0,0.001540034989728209,7.5,0.0,1.0001085922537427,proton,3.5,300.0,1.44976438780999
185,51.0,0.0012954605074436635,7.5,0.0,1.0000884598353337,proton,3.5,300.0,1.2178741085609217
186,61.0,0.0011250290337345916,7.5,0.0,1.0000748805506183,proton,3.5,300.0,1.0578147435731535
187,71.0,0.0010000825751962175,7.5,0.0,1.0000651678390733,proton,3.5,300.0,0.9397209630822666
188,81.0,0.0009040108937172162,7.5,0.0,1.0000578540262726,proton,3.5,300.0,0.8492772293532753
189,91.0,0.0008279032435706793,7.5,0.0,1.0000521592149327,proton,3.5,300.0,0.777635938997595
190,101.0,0.0007661144976206642,7.5,0.0,1.0000476032287615,proton,3.5,300.0,0.7193568754586498
191,111.0,0.0007147084568135613,7.5,0.0,1.0000438633063178,proton,3.5,300.0,0.6709827417522831
192,121.0,0.0006714043088999485,7.5,0.0,1.000040748079159,proton,3.5,300.0,0.6302748146844219
193,131.0,0.0006344045191860532,7.5,0.0,1.00003811294043,proton,3.5,300.0,0.5954837762729059
194,141.0,0.0006023898100437297,7.5,0.0,1.0000358535112694,proton,3.5,300.0,0.5653585358445968
195,151.0,0.0005744663887969863,7.5,0.0,1.0000338983081658,proton,3.5,300.0,0.5390792979870318
196,161.0,0.0005498437483239019,7.5,0.0,1.0000321870284137,proton,3.5,300.0,0.5159111115351095
197,171.0,0.0005279860447378778,7.5,0.0,1.0000306779671082,proton,3.5,300.0,0.4953369514499505
198,181.0,0.0005084934140907956,7.5,0.0,1.0000293398567308,proton,3.5,300.0,0.4769683549258817
199,191.0,0.0004909690817248215,7.5,0.0,1.000028143474928,proton,3.5,300.0,0.4604470361532677
200,201.0,0.0004751167009583902,7.5,0.0,1.0000270668288096,proton,3.5,300.0,0.4455269119619493
201,211.0,0.00046067947017685613,7.5,0.0,1.000026091270561,proton,3.5,300.0,0.4319791920218338
202,221.0,0.00044748987612779913,7.5,0.0,1.0000252040480708,proton,3.5,300.0,0.41962356889811214
203,231.0,0.00043542668673453847,7.5,0.0,1.0000243956220742,proton,3.5,300.0,0.40832224648567866
204,241.0,0.00042436005857306847,7.5,0.0,1.0000236564432785,proton,3.5,300.0,0.3979344638770026
205,251.0,0.0004141925864043612,7.5,0.0,1.0000229791694597,proton,3.5,300.0,0.3883582149497021
206,261.0,0.0004048033864890401,7.5,0.0,1.0000223554773628,proton,3.5,300.0,0.3794819543384675
207,271.0,0.000396111605936464,7.5,0.0,1.0000217795387951,proton,3.5,300.0,0.3712586632523019
208,281.0,0.0003880096439944228,7.5,0.0,1.0000212442792813,proton,3.5,300.0,0.3636133151401927
209,291.0,0.00038043213264701657,7.5,0.0,1.0000207451409413,proton,3.5,300.0,0.35648587028231404
210,1.0,1.364710088798981,7.5,0.0,1.2468408827097683,neon,3.5,100.0,1325.2373188773504
211,11.0,0.4298719350534748,7.5,0.0,1.0540736691581725,neon,3.5,100.0,406.4572572809403
212,21.0,0.2620966000615903,7.5,0.0,1.0305890265203423,neon,3.5,100.0,247.1837698941787
213,31.0,0.1922958970500616,7.5,0.0,1.0215119015410066,neon,3.5,100.0,181.1085995572741
214,41.0,0.15386904142254004,7.5,0.0,1.0167007855667294,neon,3.5,100.0,144.84985806923206
215,51.0,0.12949655540323524,7.5,0.0,1.013759330016081,neon,3.5,100.0,121.74088903417143
216,61.0,0.11248222233617294,7.5,0.0,1.0117205570984784,neon,3.5,100.0,105.76203499433169
217,71.0,0.09999873639176894,7.5,0.0,1.0102572953113942,neon,3.5,100.0,93.96315733123696
